Region,Province,Sales,Profit,Orders
Atlantic,New Brunswick,684211.52,115351.94,222
Atlantic,Newfoundland,102924.07,6885.14,76
Atlantic,Nova Scotia,817729.36,85361.87,347
Atlantic,Prince Edward Island,409383.25,31361.71,139
Northwest Territories,Northwest Territories,800847.33,100653.08,269
Nunavut,Nunavut,116376.48,2841.11,56
Ontario,Ontario,3063212.48,346868.54,1235
Prarie,Manitoba,1372848.78,136427.16,541
Prarie,Saskachewan,1464455.82,184732.96,610
Quebec,Quebec,1510195.08,140426.65,587
West,Alberta,1704791.49,151946.48,590
West,British Columbia,1892757.78,145062.13,748
Yukon,Yukon,975867.37,73849.21,396
