Category,Sub-Category,Sales,Profit,Orders
Furniture,Bookcases,822652.04,-33582.13,188
Furniture,Chairs & Chairmats,1761836.55,149649.73,375
Furniture,Office Furnishings,698093.81,100427.93,757
Furniture,Tables,1896008.14,-99062.5,355
Office Supplies,Appliances,736991.54,97158.06,423
Office Supplies,Binders and Binder Accessories,1022957.59,307413.39,868
Office Supplies,Envelopes,174085.8,48182.6,244
Office Supplies,Labels,38981.55,13677.17,285
Office Supplies,Paper,446452.86,45263.2,1150
Office Supplies,Pens & Art Supplies,167107.22,7564.78,607
Office Supplies,Rubber Bands,15006.63,-102.67,178
Office Supplies,"Scissors, Rulers and Trimmers",80996.31,-7799.25,144
Office Supplies,Storage & Organization,1070182.6,6664.15,537
Technology,Computer Peripherals,795875.94,94287.48,731
Technology,Copiers and Fax,1130361.3,167361.49,87
Technology,Office Machines,2168697.14,307712.93,334
Technology,Telephones and Communication,1889313.8,316951.62,840
