Year,Month,Month Name,Sales,Profit,Orders
2009,1,January,516302.96,62326.4,133
2009,2,February,332480.64,30422.68,101
2009,3,March,411628.73,22802.96,124
2009,4,April,393276.48,39132.73,118
2009,5,May,230145.54,18035.35,119
2009,6,June,263456.07,34640.55,105
2009,7,July,380503.97,41749.43,120
2009,8,August,329754.72,14682.84,127
2009,9,September,325292.31,46652.05,123
2009,10,October,361555.27,55228.01,100
2009,11,November,248933.43,16222.22,106
2009,12,December,415809.35,52643.51,118
2010,1,January,336526.68,48177.27,108
2010,2,February,271580.51,25999.13,109
2010,3,March,217808.01,1116.68,110
2010,4,April,266968.59,17306.51,95
2010,5,May,283534.28,42636.66,129
2010,6,June,293080.66,36130.26,108
2010,7,July,229885.5,15918.45,109
2010,8,August,207937.01,21862.78,125
2010,9,September,418343.28,50022.73,134
2010,10,October,365251.98,48596.75,121
2010,11,November,290670.35,23345.07,113
2010,12,December,368093.95,32759.19,132
2011,1,January,251467.23,17704.56,96
2011,2,February,299890.14,20848.88,111
2011,3,March,296035.87,43243.56,107
2011,4,April,288213.4,36106.24,110
2011,5,May,262628.5,25585.24,118
2011,6,June,197740.85,17478.47,105
2011,7,July,287905.19,36903.84,118
2011,8,August,274578.48,24378.93,104
2011,9,September,276049.8,33098.01,116
2011,10,October,305660.45,49054.12,113
2011,11,November,367769.5,39560.02,102
2011,12,December,328877.31,37494.12,117
2012,1,January,340626.51,43312.52,111
2012,2,February,276132.5,25158.43,108
2012,3,March,348208.32,37636.13,136
2012,4,April,268024.97,31361.04,126
2012,5,May,384588.06,29371.44,129
2012,6,June,276580.94,30454.28,103
2012,7,July,242809.7,26393.59,111
2012,8,August,302745.12,13660.95,125
2012,9,September,318271.57,34579.9,123
2012,10,October,351246.73,21137.51,133
2012,11,November,256020.1,27543.05,91
2012,12,December,354709.34,21292.94,96
