Segment,Region,Sales,Profit,Orders
Consumer,Atlantic,604792.39,85084.96,181
Consumer,Northwest Territories,67732.85,11220.17,25
Consumer,Nunavut,27259.04,4041.09,9
Consumer,Ontario,481860.28,25479.51,222
Consumer,Prarie,504555.4,60582.77,232
Consumer,Quebec,335253.56,31704.31,116
Consumer,West,837832.28,67986.61,276
Consumer,Yukon,204325.28,1860.52,76
Corporate,Atlantic,627993.28,44101.58,269
Corporate,Northwest Territories,377493.94,43577.13,127
Corporate,Nunavut,60978.02,-1352.81,25
Corporate,Ontario,1112087.19,136339.69,423
Corporate,Prarie,1291736.79,169011.67,455
Corporate,Quebec,463201.7,52913.38,177
Corporate,West,1224662.12,139844.79,462
Corporate,Yukon,340751.83,15310.57,158
Home Office,Atlantic,407947.28,63196.19,137
Home Office,Northwest Territories,194007.04,10524.82,61
Home Office,Nunavut,22941.42,1057.77,14
Home Office,Ontario,941935.65,129180.16,355
Home Office,Prarie,588326.94,55206.14,284
Home Office,Quebec,412341.64,24803.44,151
Home Office,West,739079.01,7665.45,299
Home Office,Yukon,258184.9,26720.06,94
Small Business,Atlantic,373515.25,46577.93,161
Small Business,Northwest Territories,161613.5,35330.96,56
Small Business,Nunavut,5198.01,-904.94,8
Small Business,Ontario,527329.36,55869.18,235
Small Business,Prarie,452685.46,36359.54,177
Small Business,Quebec,299398.19,31005.52,143
Small Business,West,795975.86,81511.76,293
Small Business,Yukon,172605.35,29958.06,68
